stars;pros;cons;advice_mgm
5;People are smart and fun to work with;Very fast paced, can lead to frustrations at times;
5;High energy environment Amazing leadership Intense career development Upward mobility Talented staff Revolutionary product;"I can’t think of a single one.

";
5;If you’re new to the financial industry than this may be the best place for you. You’ll learn tons in a relatively short amount of time. I’ve only been here for a few months and its done more for my professional development than any other company I’ve worked for prior to coming here (to be honest it was only one other but you should get my point). I’m excited to see what the future holds.;Management have their strict moments.;When morale starts to dip take decisive action to fix the issue.
5;I learned more in my time with the company than in the last decade of my life combined! It’s very fast-paced and working here for any length of time will certainly supercharge your professional development.;The company offers a lot of other benefits and perks which make up for the salary, but it’s still worth mentioning that they aren’t as competitive as other companies within the industry.;
5;The company goes out of its way to make sure employees aren’t overworking themselves. They host company events, offer catered lunches and dinners, and give as many employees as possible the option to work remotely. As far as start-ups go, Bunq really addresses work/life balance more than any other company I’ve worked at.;There really aren’t any company-specific cons to working at Bunq, only industry-specific. But then, you’d have to completely change industries to avoid those.;
3;You get to work on many projects and learn a lot;The structure of the marketing team is not productive enough. There is poor communication between the teams. A lot of micromanagement;
5;We’re changing the face of digital banking. It’s unchartered territory, and you feel that every day. Everyone who works here is extremely talented and knowledgeable, but most importantly, we’re all creative. You need to think outside of the box when you’re working for a company like Bunq that is doing things no one else is doing.;So far I would say the only con is that my supervisor tends to micromanage the employees directly under him. I can understand he wants to make sure everything is perfect, but it would be nice to feel more trusted in my role.;Trust the people you hire on. After all, you picked us for a reason.
5;Bunq has a strong, youthful start-up culture. It’s definitely a fun environment to work in and things are always changing. If you want to join a company where you feel like a valued part of the team, this is exactly where you need to be.;It’s a fast-paced environment. Which is par for the course when working at a tech start-up.;Don’t hire people who can’t keep up. If they don’t have experience at start-ups or don’t seem up to the task, we’re probably better off without them.
4;very international and young environment;"under market salaries; undervalued talents";
5;The working atmosphere is very pleasant with a laid-out structure for an organization where people can share feedback, ideas, and skills. Stress-free with work-life balance, amiable coworkers, talented professionals in the industry, and you really feel that you belong to the team. Every workday is an exciting day to achieve goals or simply learn new things, contribute to success, and grow professionally.;The schedule is not that flexible but gladly the location is nice!;
5;This company is as colorful as its logo. The team is really bright and talented. The employees are from all parts of the world so you get to learn about different cultures as well. There are lots of fun activities you can join after work like basketball or biking. Dinners are free and prepared by no less than a chef so you can just go home after work and recharge. The organizational structure is flat. Things get decided on fast. And you are both equipped and empowered to make business decisions too. Definitely lots of opportunities for growth and you get to move around Europe which is really beautiful and inspiring.;Young team operating at a fast pace – got to keep up! And work output is expected to be of the highest quality so you must work long and hard! But our team has gotten really close because we spend a lot of working hours together ensuring that we will deliver on the company’s vision.;
5;Bunq is a great company with a lot of room for growth at fast-paced environment. The organizational structure is flat and the team is dedicated. The peers are very co-operative and are always there to extend a helping hand. The office is at a nice location and has lunch and dinner facilities.;Flexible working hours or remote working possibilities.;
1;product is nice - people are surprisingly competent (given low compensation) and overall friendly - topic is challenging;- culture is poisonous - there's 0 strategy for the business (or it's not broadly shared) - compensation is bad (salaries are low, no bonus, no stock option) - the employee is always perceived as a risk (contract length, salaries);review HR strategy
